"gene","meanLFC"
"AACS",0.683033333333333
"AAR2",-1.11306666666667
"AATF",-2.43896666666667
"ABCC1",0.686666666666667
"ABCC4",0.369333333333333
"ABI1",-2.6771
"ABLIM1",-1.08823333333333
"ABLIM3",0.207184333333333
"ACBD6",-0.16365
"ACIN1",-1.01433333333333
"ACTN1",-2.62533333333333
"ACTN4",-1.7342
"ACVR1",-0.101133333333333
"ADAM10",0.2334
"ADAM15",-0.383993333333333
"ADAMTSL1",-0.6029
"ADCK1",0.4804
"ADD3",0.9921
"ADGRL4",0.405233333333333
"ADH5",-1.25183333333333
"ADNP",-0.0918033333333333
"ADRM1",-0.279866666666667
"AEBP2",-0.895766666666667
"AFDN",0.3861
"AFTPH",-1.16026666666667
"AGO1",-3.1731
"AGPAT5",-1.7558
"AGPS",-2.405
"AHCTF1",-1.23423333333333
"AIFM1",-2.52533333333333
"AJUBA",1.565
"AKAP11",-1.1986
"AKAP8L",-0.262066666666667
"AKT3",-1.10956666666667
"ALCAM",1.09219333333333
"ALDH1A2",-0.0711666666666667
"ALYREF",-4.63466666666667
"AMMECR1",0.32505
"AMMECR1L",NA
"AMOT",-0.4315
"ANAPC10",-5.962
"ANAPC16",-1.60275
"ANKHD1-EIF4EBP3",0.1389
"ANKLE2",-2.3927
"ANKRD17",-3.03366666666667
"ANKRD28",-0.101643333333333
"ANP32A",-1.58953333333333
"ANTXR2",-0.09405
"ANXA2",1.03480766666667
"AOPEP",0.47931
"AP2M1",-0.1878
"AP3B1",-0.772166666666667
"AP3S1",0.8243
"AP3S2",0.6274
"APBA1",0.491966666666667
"APC",-0.4628
"APOOL",-0.87701
"APPL1",-0.3053
"ARAP3",-2.73193333333333
"AREL1",-1.57483333333333
"ARF3",-1.24266666666667
"ARFRP1",-3.55585
"ARGLU1",-3.16266666666667
"ARHGAP10",-1.76366666666667
"ARHGAP21",2.33566666666667
"ARHGEF25",-1.13383333333333
"ARHGEF28",-1.80466666666667
"ARHGEF3",-1.34766666666667
"ARHGEF40",-0.946533333333333
"ARID1A",-0.258
"ARID1B",-0.3498
"ARID2",2.40266666666667
"ARID3B",-1.70106666666667
"ARID5A",-0.611566666666667
"ARID5B",-0.581066666666667
"ARL3",-0.254773333333333
"ARMH1",0.0786333333333334
"ARMH3",-1.3869
"ARRDC3",2.22566666666667
"ASCC3",-2.482
"ASS1",-0.678666666666667
"ATF2",0.1728
"ATF3",-1.03186666666667
"ATF7",0.780033333333333
"ATG13",1.316
"ATG4A",0.97625
"ATG4C",0.65717
"ATL3",-0.70852
"ATP11C",0.625766666666667
"ATP1A1",-1.3715
"ATP2B1",0.10005
"ATP6V0A2",0.0108666666666667
"ATP6V0D1",-1.91966666666667
"ATP6V0E1",-0.0526666666666666
"ATP6V1G2-DDX39B",-0.0297999999999999
"ATPAF1",-1.79693333333333
"ATR",-4.1865
"ATRX",-4.0345
"ATXN1",-1.38026666666667
"ATXN7L2",-1.638
"AXIN1",4.19766666666667
"BABAM2",1.00373333333333
"BAHD1",0.122736666666667
"BAMBI",0.177966666666667
"BAZ2A",0.414566666666667
"BBX",3.49273333333333
"BCL2L1",-1.961
"BCL6",-1.56796666666667
"BCL9",1.2139
"BCL9L",-1.01313333333333
"BCLAF1",-1.7172
"BCORL1",0.665033333333333
"BCR",0.3922
"BDNF",0.423233333333333
"BICRAL",-0.68872
"BIN1",-0.00168633333333333
"BIN3",-0.207866666666667
"BLACAT1",0.3844
"BLCAP",0.998133333333333
"BMI1",-0.0611666666666666
"BMP4",-0.232166666666667
"BNIP2",-0.7081
"BOD1L1",-5.187
"BORCS7-ASMT",-0.853433333333333
"BPTF",-0.0974
"BRAP",-3.80533333333333
"BRD8",-6.257
"BRIP1",-2.624
"BRPF1",-1.4836
"BTAF1",-1.92153333333333
"BTBD10",-2.03486666666667
"BTBD3",-0.1071
"BTBD8",0.0639666666666667
"BUB3",-6.63466666666667
"C11orf49",-0.438333333333333
"C14orf80",-4.7389
"C16orf72",-4.208
"C18orf25",-1.14073333333333
"C1D",-2.811
"C1orf52",-0.5001
"C1orf85",0.449633333333333
"C21orf59",-5.03766666666667
"C2CD5",-1.17079
"C5orf34",-0.2377
"CAAP1",-1.343
"CABCOCO1",-0.0638333333333334
"CACNA2D1",-0.374166666666667
"CACNA2D2",-0.403966666666667
"CALCOCO1",1.04076666666667
"CALD1",-0.5857
"CAMK2D",0.783166666666667
"CAMK2G",-1.99433333333333
"CAMLG",-1.21596666666667
"CAP1",-0.414566666666667
"CASK",-0.230266666666667
"CAVIN2",0.50264
"CBX4",-0.2611515
"CBX5",-1.16906666666667
"CCAR1",-2.82733333333333
"CCDC88A",-0.8155
"CCDC91",-0.5989
"CCNC",2.74333333333333
"CCND1",-7.326
"CCND3",-0.00219999999999998
"CCNE2",-0.4372
"CCNL1",1.04366666666667
"CCNL2",0.693233333333333
"CCT3",-5.3569
"CD58",-1.59533333333333
"CDC27",-2.17113333333333
"CDC42",-4.47833333333333
"CDC5L",-2.95543333333333
"CDC6",-4.16833333333333
"CDC7",-5.3325
"CDC73",-4.2075
"CDCA7",0.929833333333333
"CDH2",-3.71066666666667
"CDHR1",-1.02033333333333
"CDK12",-2.60366666666667
"CDK14",0.104243333333333
"CDK5RAP2",-0.521533333333333
"CDKAL1",-1.7336
"CDKN2C",1.18056666666667
"CELF1",1.3102
"CELF6",-0.483053333333333
"CEMIP",-0.541466666666667
