"FractionCutoff","DoubleX fitness","DoubleX nonfitness","SingleX fitness","SingleX nonfitness"
"0",50.41,29.23,0,0
"0.01",50.41,29.23,0,0
"0.02",50.41,29.23,0,0
"0.03",50.41,29.23,0,0
"0.04",50.41,29.23,0,0
"0.05",50.41,29.23,0,0
"0.06",50.41,29.23,0,0
"0.07",50.41,29.23,0,0
"0.08",50.41,29.23,0,0
"0.09",50.41,29.23,0,0
"0.1",50.41,29.23,0,0
"0.11",50.41,29.23,0,0
"0.12",50.41,29.23,0,0
"0.13",50.41,29.23,0,0
"0.14",50.41,29.23,0,0
"0.15",50.41,27.69,0,0
"0.16",50.41,27.69,0,0
"0.17",50.41,26.15,0,0
"0.18",50.41,26.15,0,0
"0.19",50,24.62,0,0
"0.2",49.59,18.46,0,0
"0.21",49.59,18.46,0,0
"0.22",49.59,16.92,0,0
"0.23",49.59,16.92,0,0
"0.24",49.59,16.92,0,0
"0.25",48.76,15.38,0,0
"0.26",48.76,15.38,0,0
"0.27",48.76,15.38,0,0
"0.28",48.76,13.85,0,0
"0.29",47.93,12.31,0,0
"0.3",47.52,10.77,0,0
"0.31",47.11,10.77,0,0
"0.32",47.11,10.77,0,0
"0.33",47.11,10.77,0,0
"0.34",41.74,9.23,0,0
"0.35",41.74,9.23,0,0
"0.36",40.91,9.23,0,0
"0.37",40.91,7.69,0,0
"0.38",39.26,6.15,0,0
"0.39",39.26,6.15,0,0
"0.4",35.95,6.15,0,0
"0.41",35.95,6.15,0,0
"0.42",35.95,6.15,0,0
"0.43",35.12,6.15,0,0
"0.44",35.12,6.15,0,0
"0.45",34.71,6.15,0,0
"0.46",34.71,6.15,0,0
"0.47",34.71,6.15,0,0
"0.48",34.71,6.15,0,0
"0.49",34.71,6.15,0,0
"0.5",27.27,3.08,0,0
"0.51",27.27,3.08,0,0
"0.52",27.27,3.08,0,0
"0.53",27.27,3.08,0,0
"0.54",27.27,3.08,0,0
"0.55",26.86,3.08,0,0
"0.56",25.62,3.08,0,0
"0.57",25.62,3.08,0,0
"0.58",25.62,3.08,0,0
"0.59",25.62,3.08,0,0
"0.6",22.73,3.08,0,0
"0.61",22.73,3.08,0,0
"0.62",22.73,3.08,0,0
"0.63",21.07,3.08,0,0
"0.64",21.07,3.08,0,0
"0.65",21.07,3.08,0,0
"0.66",21.07,3.08,0,0
"0.67",15.29,3.08,0,0
"0.68",15.29,3.08,0,0
"0.69",15.29,3.08,0,0
"0.7",14.88,3.08,0,0
"0.71",14.88,3.08,0,0
"0.72",14.88,3.08,0,0
"0.73",14.88,3.08,0,0
"0.74",14.88,3.08,0,0
"0.75",13.22,1.54,0,0
"0.76",13.22,1.54,0,0
"0.77",13.22,1.54,0,0
"0.78",13.22,1.54,0,0
"0.79",12.81,1.54,0,0
"0.8",12.4,0,0,0
"0.81",12.4,0,0,0
"0.82",12.4,0,0,0
"0.83",12.4,0,0,0
"0.84",11.57,0,0,0
"0.85",11.57,0,0,0
"0.86",11.57,0,0,0
"0.87",11.57,0,0,0
"0.88",11.57,0,0,0
"0.89",11.57,0,0,0
"0.9",11.57,0,0,0
"0.91",11.57,0,0,0
"0.92",11.57,0,0,0
"0.93",11.57,0,0,0
"0.94",11.57,0,0,0
"0.95",11.57,0,0,0
"0.96",11.57,0,0,0
"0.97",11.57,0,0,0
"0.98",11.57,0,0,0
"0.99",11.57,0,0,0
"1",0,0,0,0
