"FractionCutoff","DoubleX fitness","DoubleX nonfitness","SingleX fitness","SingleX nonfitness"
"0",25,12.84,0,0
"0.01",25,12.84,0,0
"0.02",25,12.84,0,0
"0.03",25,12.84,0,0
"0.04",25,12.84,0,0
"0.05",25,12.84,0,0
"0.06",25,12.84,0,0
"0.07",25,12.84,0,0
"0.08",25,12.84,0,0
"0.09",25,12.84,0,0
"0.1",25,12.84,0,0
"0.11",25,12.84,0,0
"0.12",25,12.84,0,0
"0.13",25,12.84,0,0
"0.14",25,12.84,0,0
"0.15",25,12.84,0,0
"0.16",25,12.84,0,0
"0.17",24.19,11.51,0,0
"0.18",24.19,11.51,0,0
"0.19",23.38,11.11,0,0
"0.2",21.27,9.87,0,0
"0.21",21.27,9.87,0,0
"0.22",21.27,9.87,0,0
"0.23",18.99,8.9,0,0
"0.24",18.99,8.9,0,0
"0.25",16.23,6.95,0,0
"0.26",16.23,6.95,0,0
"0.27",16.23,6.95,0,0
"0.28",15.75,6.82,0,0
"0.29",14.29,5.98,0,0
"0.3",13.64,5.36,0,0
"0.31",13.64,5.36,0,0
"0.32",13.64,5.36,0,0
"0.33",13.64,5.36,0,0
"0.34",10.06,3.76,0,0
"0.35",10.06,3.76,0,0
"0.36",10.06,3.76,0,0
"0.37",9.9,3.67,0,0
"0.38",8.77,3.41,0,0
"0.39",8.77,3.41,0,0
"0.4",7.95,2.48,0,0
"0.41",7.95,2.48,0,0
"0.42",7.63,2.39,0,0
"0.43",7.14,1.9,0,0
"0.44",7.14,1.9,0,0
"0.45",6.82,1.64,0,0
"0.46",6.82,1.59,0,0
"0.47",6.82,1.59,0,0
"0.48",6.82,1.59,0,0
"0.49",6.82,1.59,0,0
"0.5",4.87,0.71,0,0
"0.51",4.87,0.71,0,0
"0.52",4.87,0.71,0,0
"0.53",4.87,0.71,0,0
"0.54",4.87,0.71,0,0
"0.55",4.87,0.71,0,0
"0.56",4.71,0.71,0,0
"0.57",4.71,0.71,0,0
"0.58",3.9,0.62,0,0
"0.59",3.9,0.58,0,0
"0.6",3.25,0.44,0,0
"0.61",3.25,0.44,0,0
"0.62",3.25,0.44,0,0
"0.63",3.08,0.44,0,0
"0.64",3.08,0.44,0,0
"0.65",3.08,0.44,0,0
"0.66",3.08,0.44,0,0
"0.67",2.76,0.35,0,0
"0.68",2.76,0.35,0,0
"0.69",2.76,0.35,0,0
"0.7",2.76,0.35,0,0
"0.71",2.76,0.35,0,0
"0.72",2.6,0.31,0,0
"0.73",2.6,0.31,0,0
"0.74",2.6,0.31,0,0
"0.75",1.62,0.09,0,0
"0.76",1.62,0.09,0,0
"0.77",1.62,0.09,0,0
"0.78",1.62,0.09,0,0
"0.79",1.62,0.09,0,0
"0.8",1.3,0.09,0,0
"0.81",1.3,0.09,0,0
"0.82",1.3,0.09,0,0
"0.83",1.3,0.09,0,0
"0.84",1.3,0.09,0,0
"0.85",1.3,0.09,0,0
"0.86",1.14,0.09,0,0
"0.87",1.14,0.09,0,0
"0.88",1.14,0.09,0,0
"0.89",1.14,0.09,0,0
"0.9",1.14,0.09,0,0
"0.91",1.14,0.09,0,0
"0.92",1.14,0.09,0,0
"0.93",1.14,0.09,0,0
"0.94",1.14,0.09,0,0
"0.95",1.14,0.09,0,0
"0.96",1.14,0.09,0,0
"0.97",1.14,0.09,0,0
"0.98",1.14,0.09,0,0
"0.99",1.14,0.09,0,0
"1",0,0,0,0
