"FractionCutoff","DoubleX fitness","DoubleX nonfitness","SingleX fitness","SingleX nonfitness"
"0",24.03,19.51,0,0
"0.01",24.03,19.51,0,0
"0.02",24.03,19.51,0,0
"0.03",24.03,19.51,0,0
"0.04",24.03,19.51,0,0
"0.05",24.03,19.51,0,0
"0.06",24.03,19.51,0,0
"0.07",24.03,19.51,0,0
"0.08",24.03,19.51,0,0
"0.09",24.03,19.51,0,0
"0.1",24.03,19.51,0,0
"0.11",24.03,19.51,0,0
"0.12",24.03,19.51,0,0
"0.13",24.03,19.51,0,0
"0.14",24.03,19.51,0,0
"0.15",23.61,17.07,0,0
"0.16",23.18,17.07,0,0
"0.17",21.03,12.2,0,0
"0.18",21.03,12.2,0,0
"0.19",18.03,10.98,0,0
"0.2",17.6,8.54,0,0
"0.21",17.6,8.54,0,0
"0.22",17.6,8.54,0,0
"0.23",16.31,8.54,0,0
"0.24",16.31,7.32,0,0
"0.25",14.59,6.1,0,0
"0.26",14.59,6.1,0,0
"0.27",14.59,6.1,0,0
"0.28",14.16,4.88,0,0
"0.29",13.3,3.66,0,0
"0.3",12.45,2.44,0,0
"0.31",12.02,2.44,0,0
"0.32",12.02,2.44,0,0
"0.33",12.02,2.44,0,0
"0.34",6.87,2.44,0,0
"0.35",6.87,2.44,0,0
"0.36",6.87,2.44,0,0
"0.37",6.87,2.44,0,0
"0.38",6.87,2.44,0,0
"0.39",6.87,2.44,0,0
"0.4",5.15,2.44,0,0
"0.41",5.15,2.44,0,0
"0.42",4.72,1.22,0,0
"0.43",4.72,1.22,0,0
"0.44",4.72,1.22,0,0
"0.45",4.72,1.22,0,0
"0.46",4.72,1.22,0,0
"0.47",4.72,1.22,0,0
"0.48",4.72,1.22,0,0
"0.49",4.72,1.22,0,0
"0.5",2.58,0,0,0
"0.51",2.58,0,0,0
"0.52",2.58,0,0,0
"0.53",2.58,0,0,0
"0.54",2.58,0,0,0
"0.55",2.58,0,0,0
"0.56",2.58,0,0,0
"0.57",2.58,0,0,0
"0.58",2.58,0,0,0
"0.59",2.58,0,0,0
"0.6",1.72,0,0,0
"0.61",1.72,0,0,0
"0.62",1.72,0,0,0
"0.63",1.72,0,0,0
"0.64",1.72,0,0,0
"0.65",1.72,0,0,0
"0.66",1.72,0,0,0
"0.67",0,0,0,0
"0.68",0,0,0,0
"0.69",0,0,0,0
"0.7",0,0,0,0
"0.71",0,0,0,0
"0.72",0,0,0,0
"0.73",0,0,0,0
"0.74",0,0,0,0
"0.75",0,0,0,0
"0.76",0,0,0,0
"0.77",0,0,0,0
"0.78",0,0,0,0
"0.79",0,0,0,0
"0.8",0,0,0,0
"0.81",0,0,0,0
"0.82",0,0,0,0
"0.83",0,0,0,0
"0.84",0,0,0,0
"0.85",0,0,0,0
"0.86",0,0,0,0
"0.87",0,0,0,0
"0.88",0,0,0,0
"0.89",0,0,0,0
"0.9",0,0,0,0
"0.91",0,0,0,0
"0.92",0,0,0,0
"0.93",0,0,0,0
"0.94",0,0,0,0
"0.95",0,0,0,0
"0.96",0,0,0,0
"0.97",0,0,0,0
"0.98",0,0,0,0
"0.99",0,0,0,0
"1",0,0,0,0
