"FractionCutoff","DoubleX fitness","DoubleX nonfitness","SingleX fitness","SingleX nonfitness"
"0",11.37,9.29,0,0
"0.01",11.37,9.29,0,0
"0.02",11.37,9.29,0,0
"0.03",11.37,9.29,0,0
"0.04",11.37,9.29,0,0
"0.05",11.37,9.29,0,0
"0.06",11.37,9.29,0,0
"0.07",11.37,9.29,0,0
"0.08",11.37,9.29,0,0
"0.09",11.37,9.29,0,0
"0.1",11.37,9.29,0,0
"0.11",11.37,9.29,0,0
"0.12",11.37,9.29,0,0
"0.13",11.37,9.29,0,0
"0.14",11.37,9.29,0,0
"0.15",11.37,9.29,0,0
"0.16",11.37,9.29,0,0
"0.17",9.18,7.16,0,0
"0.18",9.18,7.16,0,0
"0.19",8.31,6.24,0,0
"0.2",6.41,4.64,0,0
"0.21",6.41,4.64,0,0
"0.22",6.41,4.64,0,0
"0.23",4.66,3.67,0,0
"0.24",4.66,3.67,0,0
"0.25",2.92,2.65,0,0
"0.26",2.92,2.65,0,0
"0.27",2.92,2.65,0,0
"0.28",2.62,2.26,0,0
"0.29",1.9,1.86,0,0
"0.3",1.9,1.55,0,0
"0.31",1.9,1.55,0,0
"0.32",1.9,1.55,0,0
"0.33",1.9,1.55,0,0
"0.34",1.31,0.88,0,0
"0.35",1.31,0.88,0,0
"0.36",1.31,0.88,0,0
"0.37",1.31,0.88,0,0
"0.38",1.17,0.75,0,0
"0.39",1.17,0.75,0,0
"0.4",1.02,0.35,0,0
"0.41",1.02,0.35,0,0
"0.42",1.02,0.35,0,0
"0.43",0.87,0.27,0,0
"0.44",0.87,0.27,0,0
"0.45",0.87,0.27,0,0
"0.46",0.73,0.27,0,0
"0.47",0.73,0.27,0,0
"0.48",0.73,0.27,0,0
"0.49",0.73,0.27,0,0
"0.5",0.29,0,0,0
"0.51",0.29,0,0,0
"0.52",0.29,0,0,0
"0.53",0.29,0,0,0
"0.54",0.29,0,0,0
"0.55",0.29,0,0,0
"0.56",0.15,0,0,0
"0.57",0.15,0,0,0
"0.58",0.15,0,0,0
"0.59",0.15,0,0,0
"0.6",0.15,0,0,0
"0.61",0.15,0,0,0
"0.62",0.15,0,0,0
"0.63",0.15,0,0,0
"0.64",0.15,0,0,0
"0.65",0.15,0,0,0
"0.66",0.15,0,0,0
"0.67",0.15,0,0,0
"0.68",0.15,0,0,0
"0.69",0.15,0,0,0
"0.7",0.15,0,0,0
"0.71",0.15,0,0,0
"0.72",0.15,0,0,0
"0.73",0.15,0,0,0
"0.74",0.15,0,0,0
"0.75",0,0,0,0
"0.76",0,0,0,0
"0.77",0,0,0,0
"0.78",0,0,0,0
"0.79",0,0,0,0
"0.8",0,0,0,0
"0.81",0,0,0,0
"0.82",0,0,0,0
"0.83",0,0,0,0
"0.84",0,0,0,0
"0.85",0,0,0,0
"0.86",0,0,0,0
"0.87",0,0,0,0
"0.88",0,0,0,0
"0.89",0,0,0,0
"0.9",0,0,0,0
"0.91",0,0,0,0
"0.92",0,0,0,0
"0.93",0,0,0,0
"0.94",0,0,0,0
"0.95",0,0,0,0
"0.96",0,0,0,0
"0.97",0,0,0,0
"0.98",0,0,0,0
"0.99",0,0,0,0
"1",0,0,0,0
