"FractionCutoff","DoubleX fitness","DoubleX nonfitness","SingleX fitness","SingleX nonfitness"
"0",12.31,4.27,0,0
"0.01",12.31,4.27,0,0
"0.02",12.31,4.27,0,0
"0.03",12.31,4.27,0,0
"0.04",12.31,4.27,0,0
"0.05",12.31,4.27,0,0
"0.06",12.31,4.27,0,0
"0.07",12.31,4.27,0,0
"0.08",12.31,4.27,0,0
"0.09",12.31,4.27,0,0
"0.1",12.31,4.27,0,0
"0.11",12.31,4.27,0,0
"0.12",12.31,4.27,0,0
"0.13",12.31,4.27,0,0
"0.14",12.31,4.27,0,0
"0.15",12.31,4.27,0,0
"0.16",12.31,4.27,0,0
"0.17",9.49,3.09,0,0
"0.18",9.49,3.09,0,0
"0.19",8.97,2.5,0,0
"0.2",8.46,1.91,0,0
"0.21",8.46,1.91,0,0
"0.22",8.46,1.91,0,0
"0.23",7.69,1.35,0,0
"0.24",7.69,1.35,0,0
"0.25",5.9,0.69,0,0
"0.26",5.9,0.69,0,0
"0.27",5.9,0.69,0,0
"0.28",5.13,0.56,0,0
"0.29",5.13,0.52,0,0
"0.3",4.87,0.45,0,0
"0.31",4.87,0.45,0,0
"0.32",4.87,0.45,0,0
"0.33",4.87,0.45,0,0
"0.34",2.56,0.17,0,0
"0.35",2.56,0.17,0,0
"0.36",2.56,0.17,0,0
"0.37",2.31,0.17,0,0
"0.38",2.31,0.14,0,0
"0.39",2.31,0.14,0,0
"0.4",1.54,0.1,0,0
"0.41",1.54,0.1,0,0
"0.42",1.54,0.1,0,0
"0.43",1.28,0.03,0,0
"0.44",1.28,0.03,0,0
"0.45",1.28,0.03,0,0
"0.46",1.28,0,0,0
"0.47",1.28,0,0,0
"0.48",1.28,0,0,0
"0.49",1.28,0,0,0
"0.5",1.28,0,0,0
"0.51",1.28,0,0,0
"0.52",1.28,0,0,0
"0.53",1.28,0,0,0
"0.54",1.28,0,0,0
"0.55",1.28,0,0,0
"0.56",1.28,0,0,0
"0.57",1.28,0,0,0
"0.58",1.03,0,0,0
"0.59",1.03,0,0,0
"0.6",0.77,0,0,0
"0.61",0.77,0,0,0
"0.62",0.77,0,0,0
"0.63",0.77,0,0,0
"0.64",0.77,0,0,0
"0.65",0.77,0,0,0
"0.66",0.77,0,0,0
"0.67",0.51,0,0,0
"0.68",0.51,0,0,0
"0.69",0.51,0,0,0
"0.7",0.51,0,0,0
"0.71",0.51,0,0,0
"0.72",0.51,0,0,0
"0.73",0.51,0,0,0
"0.74",0.51,0,0,0
"0.75",0,0,0,0
"0.76",0,0,0,0
"0.77",0,0,0,0
"0.78",0,0,0,0
"0.79",0,0,0,0
"0.8",0,0,0,0
"0.81",0,0,0,0
"0.82",0,0,0,0
"0.83",0,0,0,0
"0.84",0,0,0,0
"0.85",0,0,0,0
"0.86",0,0,0,0
"0.87",0,0,0,0
"0.88",0,0,0,0
"0.89",0,0,0,0
"0.9",0,0,0,0
"0.91",0,0,0,0
"0.92",0,0,0,0
"0.93",0,0,0,0
"0.94",0,0,0,0
"0.95",0,0,0,0
"0.96",0,0,0,0
"0.97",0,0,0,0
"0.98",0,0,0,0
"0.99",0,0,0,0
"1",0,0,0,0
