"Event.locus","Target.gene","Event","Event.Type","Span","hit","effectiveDeletion","geneFitness","geneLFC.exonicCas9","fractionTotPairs.doubleX","fractionOkPairs.doubleX","fractionTotPairs.singleX","fractionOkPairs.singleX","totPairs.doubleX","okPairs.doubleX","totPairsDrop.doubleX","okPairsDrop.doubleX","totPairs.singleX","okPairs.singleX","totPairsDrop.singleX","okPairsDrop.singleX"
"chr12:125129335-125129460","AACS","HsaEX0000123","exon.deletion","125",FALSE,NA,"non-fitness",-0.412,0,0,0.3333,0,16,6,0,0,12,8,4,0
"chr10:114447880-114448020","ABLIM1","HsaEX0000724","exon.deletion","140",FALSE,NA,"non-fitness",0.1793,0,0,0.0833,0,15,13,0,0,12,11,1,0
"chr14:23071125-23071186","ACIN1","HsaEX0001925","exon.deletion","61",TRUE,"chr14:23070975-23073743","non-fitness",-0.2766,0.5625,0.75,0.6667,0,16,4,9,3,12,4,8,0
"chr20:62304461-62304485","ADRM1","HsaEX0002885","exon.deletion","24",FALSE,NA,"non-fitness",-0.1595,0,0,0.1818,0,16,12,0,0,11,9,2,0
"chr3:105552144-105552182","ALCAM","HsaEX0003574","exon.deletion","38",TRUE,"chr3:105551705-105552386","non-fitness",-0.2652,0.4375,0.5,0.375,0,16,6,7,3,8,5,3,0
"chr10:72223893-72224056","ANAPC16","HsaEX0004048","exon.deletion","163",FALSE,NA,"non-fitness",-0.3917,0.2857,0.2,0.1667,0,14,10,4,2,12,10,2,0
"chr15:60397258-60397338","ANXA2","HsaEX0004734","exon.deletion","80",FALSE,NA,"non-fitness",-0.4288,0.125,0.1,0.1667,0,16,10,2,1,12,8,2,0
"chr3:184180645-184180650","AP2M1","HsaEX0004932","exon.deletion","5",FALSE,NA,"fitness",-1.4834,0,0,0,0,4,4,0,0,5,5,0,0
"chr5:141655362-141655400","ARAP3","HsaEX0005298","exon.deletion","38",NA,NA,"",-0.103,0.1429,NA,0.125,0,7,0,1,0,8,7,1,0
"chr20:63706999-63707092","ARFRP1","HsaEX0005373","exon.deletion","93",TRUE,"chr20:63706794-63707647","fitness",-1.7359,0.625,1,0.3333,0,8,3,5,3,6,4,2,0
"chr4:148063153-148063300","ARHGAP10","HsaEX0005393","exon.deletion","147",FALSE,NA,"non-fitness",-0.3256,0,0,0.0909,0,16,14,0,0,11,10,1,0
"chr3:57035088-57035176","ARHGEF3","HsaEX0005674","exon.deletion","88",FALSE,NA,"non-fitness",-0.0301,0.0667,0,0.3333,0,15,6,1,0,12,8,4,0
"chr12:123751110-123751229","ATP6V0A2","HsaEX0006970","exon.deletion","119",FALSE,NA,"",-0.7215,0.25,0.2727,0.1818,0,16,11,4,3,11,9,2,0
"chr16:291190-291297","AXIN1","HsaEX0007386","exon.deletion","107",FALSE,NA,"",-0.8379,0.0625,0,0.25,0,16,9,1,0,12,9,3,0
"chr2:127057473-127057601","BIN1","HsaEX0008093","exon.deletion","128",TRUE,"chr2:127055460-127058313","",-0.8701,0.2857,0.4,0.1667,0,14,10,4,4,12,10,2,0
"chr17:67875556-67875744","BPTF","HsaEX0008351","exon.deletion","188",FALSE,NA,"fitness",-2.0265,0.3125,0.2857,0.0833,0,16,14,5,4,12,11,1,0
"chr5:138168470-138168688","BRD8","HsaEX0008428","exon.deletion","218",FALSE,NA,"fitness",-1.5367,0.1429,0,0.4,0,14,5,2,0,10,5,4,0
"chr3:9744224-9744508","BRPF1","HsaEX0008494","exon.deletion","284",FALSE,NA,"",-0.7785,0,0,0.3636,0,15,6,0,0,11,7,4,0
"chr14:49628012-49628155","C14orf104","HsaEX0009355","exon.deletion","143",TRUE,"chr14:49627265-49628779","",NA,0.5,0.5385,0.0833,0,16,13,8,7,12,11,1,0
"chr14:105492579-105492734","C14orf80","HsaEX0009526","exon.deletion","155",TRUE,"chr14:105492404-105493708","fitness",-4.0347,0.8125,0.7857,0.1111,0,16,14,13,11,9,8,1,0
"chr1:153643227-153643364","C1orf77","HsaEX0010327","exon.deletion","137",FALSE,NA,"",NA,0.0625,0.0625,0,0,16,16,1,1,12,12,0,0
"chr1:156294759-156295016","C1orf85","HsaEX0010333","exon.deletion","257",TRUE,"chr1:156294652-156295207","",-0.7215,0.5833,0.375,0.1,0,12,8,7,3,10,8,1,0
"chr21:32602272-32602367","C21orf59","HsaEX0010569","exon.deletion","95",TRUE,"chr21:32601626-32603875","fitness",-3.9053,0.75,0.5,0.3333,0,16,6,12,3,12,8,4,0
"chr3:129290679-129290804","C3orf37","HsaEX0010916","exon.deletion","125",FALSE,NA,"",NA,0.2143,0.2857,0.3333,0,14,7,3,2,12,8,4,0
"chr6:41071596-41071675","C6orf130","HsaEX0011224","exon.deletion","79",FALSE,NA,"",NA,0.2143,0,0.1667,0,14,7,3,0,12,10,2,0
"chr5:134741063-134741523","CAMLG","HsaEX0012271","exon.deletion","460",TRUE,"chr5:134739562-134742676","",-1.3609,0.375,0.4286,0.3,0,16,7,6,3,10,7,3,0
"chr10:68737845-68737889","CCAR1","HsaEX0012829","exon.deletion","44",TRUE,"chr10:68737609-68738092","fitness",-1.59,0.3125,0.3571,0.0833,0,16,14,5,5,12,11,1,0
"chr10:84211001-84211165","CDHR1","HsaEX0014228","exon.deletion","164",TRUE,"chr10:84210685-84211543","non-fitness",-0.2847,0.25,0.3333,0.1818,0,16,12,4,4,11,9,2,0
"chr4:103163479-103163553","CENPE","HsaEX0014579","exon.deletion","74",FALSE,NA,"",-1.097,0.1333,0.1111,0.25,0,15,9,2,1,8,6,2,0
"chr20:35458304-35458374","CEP250","HsaEX0014759","exon.deletion","70",FALSE,NA,"",-1.1285,0.2667,0,0.5,0,15,4,4,0,12,6,6,0
"chr9:128187863-128187934","CIZ1","HsaEX0015444","exon.deletion","71",FALSE,NA,"non-fitness",-0.1783,0.25,0.2857,0.0909,0,16,14,4,4,11,10,1,0
"chr17:82245976-82246039","CSNK1D","HsaEX0017532","exon.deletion","63",TRUE,"chr17:82245790-82247862","",-1.1424,0.3125,0.3333,0.3333,0,16,9,5,3,12,8,4,0
"chr10:100243697-100243777","CWF19L1","HsaEX0018098","Cas12a.exonic","80",FALSE,NA,"non-fitness",-0.076,0.125,0.1429,0.0833,0,16,14,2,2,12,11,1,0
"chr8:144464460-144464612","CYHR1","HsaEX0018227","exon.deletion","152",FALSE,NA,"non-fitness",-0.0374,0,0,0.2,0,15,11,0,0,10,8,2,0
"chr1:3872504-3872572","DFFB","HsaEX0019323","exon.deletion","68",FALSE,NA,"non-fitness",0.3891,0.125,0,0.2727,0,16,8,2,0,11,8,3,0
"chr22:20092809-20092907","DGCR8","HsaEX0019372","exon.deletion","98",TRUE,"chr22:20092390-20093549","fitness",-2.731,0.5333,0.5455,0.1818,0,15,11,8,6,11,9,2,0
"chr17:36599671-36599763","DHRS11","HsaEX0019515","exon.deletion","92",TRUE,"chr17:36599490-36599856","",-0.6344,0.7,0.6667,0.3333,0,10,3,7,2,12,8,4,0
"chr13:72780846-72781003","DIS3","HsaEX0019777","exon.deletion","157",FALSE,NA,"",NA,0,0,0.0909,0,15,14,0,0,11,10,1,0
"chrX:70497180-70497221","DLG3","HsaEX0019897","exon.deletion","41",FALSE,NA,"fitness",-1.8263,0,0,0.0909,0,16,14,0,0,11,10,1,0
"chr19:35509911-35509961","DMKN","HsaEX0019982","exon.deletion","50",FALSE,NA,"non-fitness",-0.4925,0,0,0,0,12,12,0,0,11,11,0,0
"chr12:32738264-32738296","DNM1L","HsaEX0020452","exon.deletion","32",FALSE,NA,"fitness",-3.7083,0.3333,0,0.3,0,15,5,5,0,10,7,3,0
"chr12:67649797-67649945","DYRK2","HsaEX0021345","exon.deletion","148",FALSE,NA,"non-fitness",0.1338,0.3125,0.125,0.1818,0,16,8,5,1,11,9,2,0
"chr4:147485612-147486101","EDNRA","HsaEX0021596","exon.deletion","489",FALSE,NA,"non-fitness",0.332,0,0,0,0,16,16,0,0,12,12,0,0
"chr20:35280654-35280829","EIF6","HsaEX0022088","exon.deletion","175",TRUE,"chr20:35280219-35280997","",NA,1,1,0.3333,0,14,6,14,6,12,8,4,0
"chr18:36658075-36658188","FHOD3","HsaEX0025787","exon.deletion","113",FALSE,NA,"non-fitness",0.5202,0,0,0,0,14,14,0,0,12,12,0,0
"chr11:65894014-65894116","FOSL1","HsaEX0026207","exon.deletion","102",FALSE,NA,"",-1.3695,0.3125,0.1667,0.3333,0,16,6,5,1,12,8,4,0
"chr19:49812638-49812736","FUZ","HsaEX0026624","exon.deletion","98",FALSE,NA,"",-0.719,0.2857,0.25,0.4545,0,14,4,4,1,11,6,5,0
"chr1:23798887-23799012","GALE","HsaEX0026852","exon.deletion","125",TRUE,"chr1:23798809-23799226","",-0.7794,0.6,0.6,0,0,5,5,3,3,6,6,0,0
"chr19:19501969-19502043","GATAD2A","HsaEX0027110","exon.deletion","74",FALSE,NA,"",-0.6405,0.3333,0.2857,0.3636,0,12,7,4,2,11,7,4,0
"chr17:75244619-75244717","GGA3","HsaEX0027386","exon.deletion","98",TRUE,"chr17:75244194-75244798","non-fitness",-0.0455,0.375,0.375,0.3333,0,16,8,6,3,12,8,4,0
"chr8:143269360-143269520","GLI4","HsaEX0027617","exon.deletion","160",FALSE,NA,"non-fitness",0.3801,0,0,0,0,16,16,0,0,12,12,0,0
"chr3:52291828-52291922","GLYCTK","HsaEX0027751","exon.deletion","94",FALSE,NA,"",-0.5956,0.1429,0,0.1,0,14,11,2,0,10,9,1,0
"chr5:55161120-55161255","GPX8","HsaEX0028491","exon.deletion","135",TRUE,"chr5:55160817-55161517","",-1.0944,0.8667,1,0.5,0,15,4,13,4,12,6,6,0
"chr13:113355323-113355481","GRTP1","HsaEX0028782","exon.deletion","158",FALSE,NA,"non-fitness",0.1054,0.0625,0,0.2727,0,16,10,1,0,11,8,3,0
"chr10:104279370-104279471","GSTO2","HsaEX0028885","exon.deletion","101",FALSE,NA,"non-fitness",-0.2833,0.0625,0.0714,0.0909,0,16,14,1,1,11,10,1,0
"chr5:103186320-103186439","HISPPD1","HsaEX0030036","exon.deletion","119",FALSE,NA,"",NA,0.0769,0,0.0909,0,13,12,1,0,11,10,1,0
"chr22:35262323-35262421","HMGXB4","HsaEX0030240","exon.deletion","98",FALSE,NA,"non-fitness",-0.0543,0,0,0,0,16,16,0,0,12,12,0,0
