"Event.locus","Target.gene","Event","Event.Type","Span","hit","effectiveDeletion","geneFitness","geneLFC.exonicCas9","fractionTotPairs.doubleX","fractionOkPairs.doubleX","fractionTotPairs.singleX","fractionOkPairs.singleX","totPairs.doubleX","okPairs.doubleX","totPairsDrop.doubleX","okPairsDrop.doubleX","totPairs.singleX","okPairs.singleX","totPairsDrop.singleX","okPairsDrop.singleX"
"chr20:36244927-36255576","AAR2","IDEL002459","Conserved_Patch_within_COORD","10649",FALSE,NA,"non-fitness",-0.3595,0,0,0,0,11,11,0,0,10,10,0,0
"chr20:36244927-36255576","AAR2","IDEL003604","Conserved_Patch_within_COORD","10649",FALSE,NA,"non-fitness",-0.3595,0,0,0,0,9,9,0,0,9,9,0,0
"chr20:36240626-36244696","AAR2","IDEL004806","non_conserved_intron_control.SF","4070",FALSE,NA,"non-fitness",-0.3595,0.0833,0.0833,0,0,12,12,1,1,9,9,0,0
"chr17:36953908-36986616","AATF","IDEL002260","Conserved_Patch_within_COORD","32708",FALSE,NA,"non-fitness",-2.5927,0,0,0,0,12,12,0,0,8,8,0,0
"chr17:36990858-37019004","AATF","IDEL002261","Conserved_Patch_within_COORD","28146",FALSE,NA,"non-fitness",-2.5927,0,0,0,0,10,10,0,0,10,10,0,0
"chr17:37031686-37056599","AATF","IDEL002262","Conserved_Patch_within_COORD","24913",FALSE,NA,"non-fitness",-2.5927,0,0,0.1111,0,9,8,0,0,9,8,1,0
"chr17:36953908-36986616","AATF","IDEL003479","Conserved_Patch_within_COORD","32708",FALSE,NA,"non-fitness",-2.5927,0,0,0,0,12,12,0,0,10,10,0,0
"chr17:36990858-37019004","AATF","IDEL003480","Conserved_Patch_within_COORD","28146",FALSE,NA,"non-fitness",-2.5927,0,0,0.125,0,10,9,0,0,8,7,1,0
"chr17:37031686-37056599","AATF","IDEL003481","Conserved_Patch_within_COORD","24913",FALSE,NA,"non-fitness",-2.5927,0,0,0.1,0,12,10,0,0,10,9,1,0
"chr17:37019073-37020933","AATF","IDEL000984","GoldSTD_within_COORD","1860",FALSE,NA,"non-fitness",-2.5927,0.0833,0.0833,0,0,12,12,1,1,9,9,0,0
"chr17:36950406-36952885","AATF","IDEL005420","non_conserved_intron_control.SF","2479",FALSE,NA,"non-fitness",-2.5927,0,0,0,0,9,9,0,0,9,9,0,0
"chr16:16125912-16131788","ABCC1","IDEL002218","Conserved_Patch_within_COORD","5876",FALSE,NA,"fitness",0.6036,0,0,0,0,12,12,0,0,10,10,0,0
"chr16:16016622-16033108","ABCC1","IDEL004689","non_conserved_intron_control.SF","16486",FALSE,NA,"fitness",0.6036,0.0833,0.0833,0,0,12,12,1,1,9,9,0,0
"chr13:95021683-95034604","ABCC4","IDEL002115","Conserved_Patch_within_COORD","12921",FALSE,NA,"fitness",0.89,0,0,0,0,12,12,0,0,10,10,0,0
"chr13:95034740-95038629","ABCC4","IDEL002116","Conserved_Patch_within_COORD","3889",FALSE,NA,"fitness",0.89,0.0909,0.0909,0,0,11,11,1,1,9,9,0,0
"chr13:95038737-95043681","ABCC4","IDEL002117","Conserved_Patch_within_COORD","4944",FALSE,NA,"fitness",0.89,0,0,0,0,12,12,0,0,9,9,0,0
"chr13:95096180-95105045","ABCC4","IDEL002118","Conserved_Patch_within_COORD","8865",FALSE,NA,"fitness",0.89,0.0833,0.0833,0,0,12,12,1,1,9,9,0,0
"chr13:95105104-95115921","ABCC4","IDEL002119","Conserved_Patch_within_COORD","10817",FALSE,NA,"fitness",0.89,0,0,0,0,9,9,0,0,7,7,0,0
"chr13:95116002-95161188","ABCC4","IDEL002120","Conserved_Patch_within_COORD","45186",FALSE,NA,"fitness",0.89,0.0833,0.0833,0,0,12,12,1,1,8,8,0,0
"chr13:95105104-95115921","ABCC4","IDEL003403","Conserved_Patch_within_COORD","10817",FALSE,NA,"fitness",0.89,0.1667,0.1667,0,0,12,12,2,2,9,9,0,0
"chr13:95161793-95163121","ABCC4","IDEL000902","GoldSTD_within_COORD","1328",FALSE,NA,"fitness",0.89,0,0,0,0,12,12,0,0,8,8,0,0
"chr13:95194938-95206531","ABCC4","IDEL004649","non_conserved_intron_control.SF","11593",FALSE,NA,"fitness",0.89,0,0,0,0,12,12,0,0,9,9,0,0
"chr10:26770346-26771073","ABI1","IDEL000771","GoldSTD_within_COORD","727",FALSE,NA,"",0.1497,0.0909,0.0909,0,0,11,11,1,1,9,9,0,0
"chr10:26768993-26770244","ABI1","IDEL006044","non_conserved_intron_control.UB","1251",FALSE,NA,"",0.1497,0,0,0,0,8,8,0,0,9,9,0,0
"chr5:149217047-149230648","ABLIM3","IDEL002676","Conserved_Patch_within_COORD","13601",FALSE,NA,"non-fitness",0.0713,0,0,0,0,11,11,0,0,10,10,0,0
"chr5:149217047-149230648","ABLIM3","IDEL003741","Conserved_Patch_within_COORD","13601",FALSE,NA,"non-fitness",0.0713,0,0,0,0,12,12,0,0,9,9,0,0
"chr5:149230708-149233228","ABLIM3","IDEL005719","non_conserved_intron_control.SF","2520",FALSE,NA,"non-fitness",0.0713,0,0,0,0,11,11,0,0,9,9,0,0
"chr1:180326563-180397515","ACBD6","IDEL001862","Conserved_Patch_within_COORD","70952",FALSE,NA,"non-fitness",-0.525,0,0,0,0,11,11,0,0,10,10,0,0
"chr1:180413472-180430179","ACBD6","IDEL001864","Conserved_Patch_within_COORD","16707",FALSE,NA,"non-fitness",-0.525,0,0,0.1,0,11,9,0,0,10,9,1,0
"chr1:180326563-180397515","ACBD6","IDEL003249","Conserved_Patch_within_COORD","70952",FALSE,NA,"non-fitness",-0.525,0,0,0.1111,0,12,9,0,0,9,8,1,0
"chr1:180492366-180495460","ACBD6","IDEL006159","non_conserved_intron_control.UB","3094",FALSE,NA,"non-fitness",-0.525,0,0,0,0,12,12,0,0,10,10,0,0
"chr14:23067314-23068671","ACIN1","IDEL000551","AS_deletion_outside","1357",FALSE,NA,"non-fitness",-0.2766,0,0,0,0,12,12,0,0,10,10,0,0
"chr14:23069618-23071123","ACIN1","IDEL000913","GoldSTD_within_COORD","1505",FALSE,NA,"non-fitness",-0.2766,0,0,0,0,10,10,0,0,10,10,0,0
"chr14:23066009-23067313","ACIN1","IDEL004021","GoldSTD_within_COORD","1304",FALSE,NA,"non-fitness",-0.2766,0,0,0,0,11,11,0,0,10,10,0,0
"chr14:23068672-23069475","ACIN1","IDEL004022","GoldSTD_within_COORD","803",FALSE,NA,"non-fitness",-0.2766,0,0,0,0,11,11,0,0,9,9,0,0
"chr14:23059475-23061083","ACIN1","IDEL005967","non_conserved_intron_control.UB","1608",FALSE,NA,"non-fitness",-0.2766,0,0,0,0,8,8,0,0,8,8,0,0
