"Event.locus","Target.gene","Event","Event.Type","Span","hit","effectiveDeletion","geneFitness","geneLFC.exonicCas9","fractionTotPairs.doubleX","fractionOkPairs.doubleX","fractionTotPairs.singleX","fractionOkPairs.singleX","totPairs.doubleX","okPairs.doubleX","totPairsDrop.doubleX","okPairsDrop.doubleX","totPairs.singleX","okPairs.singleX","totPairsDrop.singleX","okPairsDrop.singleX"
"chr12:125129335-125129460","AACS","HsaEX0000123","Fig6_Exon_Deletion","125",FALSE,NA,"non-fitness",-0.412,0,0,0,0,16,16,0,0,12,12,0,0
"chr10:114447880-114448020","ABLIM1","HsaEX0000724","Fig6_Exon_Deletion","140",FALSE,NA,"",0.1793,0.0667,0.0909,0.0833,0,15,11,1,1,12,11,1,0
"chr14:23071125-23071186","ACIN1","HsaEX0001925","Fig6_Exon_Deletion","61",FALSE,NA,"non-fitness",-0.2766,0,0,0,0,16,16,0,0,12,12,0,0
"chr20:62304461-62304485","ADRM1","HsaEX0002885","Fig6_Exon_Deletion","24",FALSE,NA,"non-fitness",-0.1595,0,0,0,0,16,16,0,0,11,11,0,0
"chr3:105552144-105552182","ALCAM","HsaEX0003574","Fig6_Exon_Deletion","38",FALSE,NA,"non-fitness",-0.2652,0,0,0,0,16,16,0,0,8,8,0,0
"chr10:72223893-72224056","ANAPC16","HsaEX0004048","Fig6_Exon_Deletion","163",FALSE,NA,"non-fitness",-0.3917,0.0714,0.0714,0,0,14,14,1,1,12,12,0,0
"chr15:60397258-60397338","ANXA2","HsaEX0004734","Fig6_Exon_Deletion","80",FALSE,NA,"non-fitness",-0.4288,0,0,0,0,16,16,0,0,12,12,0,0
"chr3:184180645-184180650","AP2M1","HsaEX0004932","Fig6_Exon_Deletion","5",FALSE,NA,"non-fitness",-1.4834,0,0,0.2,0,4,3,0,0,5,4,1,0
"chr5:141655362-141655400","ARAP3","HsaEX0005298","Fig6_Exon_Deletion","38",FALSE,NA,"non-fitness",-0.103,0,0,0,0,7,7,0,0,8,8,0,0
"chr20:63706999-63707092","ARFRP1","HsaEX0005373","Fig6_Exon_Deletion","93",FALSE,NA,"non-fitness",-1.7359,0,0,0,0,8,8,0,0,6,6,0,0
"chr4:148063153-148063300","ARHGAP10","HsaEX0005393","Fig6_Exon_Deletion","147",FALSE,NA,"non-fitness",-0.3256,0,0,0.1818,0,16,8,0,0,11,9,2,0
"chr3:57035088-57035176","ARHGEF3","HsaEX0005674","Fig6_Exon_Deletion","88",FALSE,NA,"non-fitness",-0.0301,0,0,0,0,15,15,0,0,12,12,0,0
"chr12:123751110-123751229","ATP6V0A2","HsaEX0006970","Fig6_Exon_Deletion","119",FALSE,NA,"non-fitness",-0.7215,0.0625,0.0625,0,0,16,16,1,1,11,11,0,0
"chr16:291190-291297","AXIN1","HsaEX0007386","Fig6_Exon_Deletion","107",FALSE,NA,"non-fitness",-0.8379,0,0,0,0,16,16,0,0,12,12,0,0
"chr2:127057473-127057601","BIN1","HsaEX0008093","Fig6_Exon_Deletion","128",FALSE,NA,"non-fitness",-0.8701,0,0,0,0,14,14,0,0,12,12,0,0
"chr17:67875556-67875744","BPTF","HsaEX0008351","Fig6_Exon_Deletion","188",FALSE,NA,"non-fitness",-2.0265,0,0,0.0833,0,16,14,0,0,12,11,1,0
"chr5:138168470-138168688","BRD8","HsaEX0008428","Fig6_Exon_Deletion","218",FALSE,NA,"non-fitness",-1.5367,0,0,0,0,14,14,0,0,10,10,0,0
"chr3:9744224-9744508","BRPF1","HsaEX0008494","Fig6_Exon_Deletion","284",FALSE,NA,"non-fitness",-0.7785,0,0,0.0909,0,15,13,0,0,11,10,1,0
"chr14:49628012-49628155","C14orf104","HsaEX0009355","Fig6_Exon_Deletion","143",FALSE,NA,"",NA,0,0,0,0,16,16,0,0,12,12,0,0
