"Event.locus","Target.gene","Event","Event.Type","Span","hit","effectiveDeletion","geneFitness","geneLFC.exonicCas9","fractionTotPairs.doubleX","fractionOkPairs.doubleX","fractionTotPairs.singleX","fractionOkPairs.singleX","totPairs.doubleX","okPairs.doubleX","totPairsDrop.doubleX","okPairsDrop.doubleX","totPairs.singleX","okPairs.singleX","totPairsDrop.singleX","okPairsDrop.singleX"
"chr20:36244927-36255576","AAR2","IDEL002459","Cas12a.exonic","10649",FALSE,NA,"non-fitness",-1.1131,0,0,0.1,0,11,9,0,0,10,9,1,0
"chr20:36244927-36255576","AAR2","IDEL003604","cons.region","10649",FALSE,NA,"non-fitness",-1.1131,0.3,0.25,0.1111,0,10,8,3,2,9,8,1,0
"chr20:36240626-36244696","AAR2","IDEL004806","non.cons","4070",FALSE,NA,"non-fitness",-1.1131,0.1667,0.25,0.2222,0,12,8,2,2,9,7,2,0
"chr17:36953908-36986616","AATF","IDEL002260","cons.region","32708",FALSE,NA,"non-fitness",-2.439,0,0,0,0,12,12,0,0,9,9,0,0
"chr17:36990858-37019004","AATF","IDEL002261","cons.region","28146",FALSE,NA,"non-fitness",-2.439,0,0,0,0,9,9,0,0,9,9,0,0
"chr17:37031686-37056599","AATF","IDEL002262","cons.region","24913",FALSE,NA,"non-fitness",-2.439,0,0,0,0,9,9,0,0,9,9,0,0
"chr17:36953908-36986616","AATF","IDEL003479","cons.region","32708",FALSE,NA,"non-fitness",-2.439,0,0,0.2,0,12,8,0,0,10,8,2,0
"chr17:36990858-37019004","AATF","IDEL003480","cons.region","28146",FALSE,NA,"non-fitness",-2.439,0,0,0,0,10,10,0,0,8,8,0,0
"chr17:37031686-37056599","AATF","IDEL003481","cons.region","24913",FALSE,NA,"non-fitness",-2.439,0,0,0,0,12,12,0,0,10,10,0,0
"chr17:37019073-37020933","AATF","IDEL000984","Cas12a.exonic","1860",FALSE,NA,"non-fitness",-2.439,0,0,0,0,12,12,0,0,9,9,0,0
"chr17:36950406-36952885","AATF","IDEL005420","non.cons","2479",FALSE,NA,"non-fitness",-2.439,0,0,0,0,8,8,0,0,9,9,0,0
"chr16:16125912-16131788","ABCC1","IDEL002218","Cas12a.exonic","5876",FALSE,NA,"",0.6867,0,0,0,0,12,12,0,0,10,10,0,0
"chr16:16016622-16033108","ABCC1","IDEL004689","non.cons","16486",FALSE,NA,"",0.6867,0,0,0.1111,0,12,10,0,0,9,8,1,0
"chr13:95021683-95034604","ABCC4","IDEL002115","cons.region","12921",FALSE,NA,"",0.3693,0.1,0.125,0.1,0,10,8,1,1,10,9,1,0
"chr13:95034740-95038629","ABCC4","IDEL002116","cons.region","3889",FALSE,NA,"",0.3693,0.0909,0,0.1111,0,11,9,1,0,9,8,1,0
"chr13:95038737-95043681","ABCC4","IDEL002117","cons.region","4944",FALSE,NA,"",0.3693,0.2727,0.2727,0,0,11,11,3,3,10,10,0,0
"chr13:95096180-95105045","ABCC4","IDEL002118","cons.region","8865",FALSE,NA,"",0.3693,0.0833,0.0833,0,0,12,12,1,1,9,9,0,0
"chr13:95105104-95115921","ABCC4","IDEL002119","cons.region","10817",FALSE,NA,"",0.3693,0.1111,0.1111,0,0,9,9,1,1,7,7,0,0
"chr13:95116002-95161188","ABCC4","IDEL002120","cons.region","45186",FALSE,NA,"",0.3693,0,0,0,0,12,12,0,0,8,8,0,0
"chr13:95105104-95115921","ABCC4","IDEL003403","cons.region","10817",FALSE,NA,"",0.3693,0.0833,0.0833,0,0,12,12,1,1,9,9,0,0
"chr13:95161793-95163121","ABCC4","IDEL000902","cons.intron","1328",FALSE,NA,"",0.3693,0,0,0,0,12,12,0,0,8,8,0,0
"chr13:95194938-95206531","ABCC4","IDEL004649","non.cons","11593",FALSE,NA,"",0.3693,0,0,0,0,12,12,0,0,9,9,0,0
"chr10:26770346-26771073","ABI1","IDEL000771","Cas12a.exonic","727",FALSE,NA,"non-fitness",-2.6771,0.1,0,0.1111,0,10,8,1,0,9,8,1,0
"chr10:26768993-26770244","ABI1","IDEL006044","non.cons","1251",FALSE,NA,"non-fitness",-2.6771,0,0,0,0,9,9,0,0,9,9,0,0
"chr5:149217047-149230648","ABLIM3","IDEL002676","cons.region","13601",FALSE,NA,"non-fitness",0.2072,0.0909,0.0909,0,0,11,11,1,1,10,10,0,0
"chr5:149217047-149230648","ABLIM3","IDEL003741","cons.region","13601",FALSE,NA,"non-fitness",0.2072,0.0833,0.0833,0,0,12,12,1,1,9,9,0,0
"chr5:149230708-149233228","ABLIM3","IDEL005719","non.cons","2520",FALSE,NA,"non-fitness",0.2072,0,0,0,0,12,12,0,0,9,9,0,0
"chr1:180326563-180397515","ACBD6","IDEL001862","Cas12a.exonic","70952",FALSE,NA,"non-fitness",-0.1637,0,0,0,0,12,12,0,0,10,10,0,0
"chr1:180413472-180430179","ACBD6","IDEL001864","cons.region","16707",FALSE,NA,"non-fitness",-0.1637,0.1,0.1,0,0,10,10,1,1,10,10,0,0
"chr1:180326563-180397515","ACBD6","IDEL003249","cons.region","70952",FALSE,NA,"non-fitness",-0.1637,0.1667,0.1667,0,0,12,12,2,2,10,10,0,0
"chr1:180492366-180495460","ACBD6","IDEL006159","non.cons","3094",FALSE,NA,"non-fitness",-0.1637,0,0,0,0,12,12,0,0,10,10,0,0
"chr14:23067314-23068671","ACIN1","IDEL000551","AS","1357",FALSE,NA,"non-fitness",-1.0143,0,0,0,0,12,12,0,0,9,9,0,0
"chr14:23069618-23071123","ACIN1","IDEL000913","cons.intron","1505",FALSE,NA,"non-fitness",-1.0143,0,0,0,0,11,11,0,0,10,10,0,0
"chr14:23066009-23067313","ACIN1","IDEL004021","cons.intron","1304",FALSE,NA,"non-fitness",-1.0143,0,0,0,0,12,12,0,0,10,10,0,0
"chr14:23068672-23069475","ACIN1","IDEL004022","cons.intron","803",FALSE,NA,"non-fitness",-1.0143,0,0,0,0,12,12,0,0,9,9,0,0
"chr14:23059475-23061083","ACIN1","IDEL005967","non.cons","1608",FALSE,NA,"non-fitness",-1.0143,0,0,0,0,8,8,0,0,8,8,0,0
"chr14:68885576-68890138","ACTN1","IDEL003077","Cas12a.exonic","4562",FALSE,NA,"non-fitness",-2.6253,0,0,0,0,6,6,0,0,5,5,0,0
"chr14:68912243-68921005","ACTN1","IDEL004664","non.cons","8762",FALSE,NA,"non-fitness",-2.6253,0,0,0,0,12,12,0,0,10,10,0,0
"chr19:38647908-38700598","ACTN4","IDEL002327","Cas12a.exonic","52690",FALSE,NA,"non-fitness",-1.7342,0,0,0,0,12,12,0,0,10,10,0,0
"chr19:38706132-38708115","ACTN4","IDEL005485","non.cons","1983",FALSE,NA,"non-fitness",-1.7342,0,0,0,0,12,12,0,0,10,10,0,0
"chr2:157780601-157799426","ACVR1","IDEL002380","cons.region","18825",FALSE,NA,"non-fitness",-0.1011,0,0,0.1111,0,12,10,0,0,9,8,1,0
"chr2:157806997-157818268","ACVR1","IDEL002381","cons.region","11271",FALSE,NA,"non-fitness",-0.1011,0,0,0,0,12,12,0,0,10,10,0,0
"chr2:157860180-157874863","ACVR1","IDEL002382","cons.region","14683",FALSE,NA,"non-fitness",-0.1011,0.1667,0.1667,0,0,12,12,2,2,9,9,0,0
"chr2:157780601-157799426","ACVR1","IDEL003552","cons.region","18825",FALSE,NA,"non-fitness",-0.1011,0,0,0,0,10,10,0,0,9,9,0,0
"chr2:157860180-157874863","ACVR1","IDEL003553","cons.region","14683",FALSE,NA,"non-fitness",-0.1011,0.1667,0.1667,0,0,12,12,2,2,10,10,0,0
"chr2:157875112-157875795","ACVR1","IDEL001075","Cas12a.exonic","683",FALSE,NA,"non-fitness",-0.1011,0.1667,0.1667,0,0,12,12,2,2,10,10,0,0
"chr2:157761078-157765920","ACVR1","IDEL004773","non.cons","4842",FALSE,NA,"non-fitness",-0.1011,0,0,0,0,11,11,0,0,9,9,0,0
"chr15:58665198-58676276","ADAM10","IDEL002193","Cas12a.exonic","11078",FALSE,NA,"non-fitness",0.2334,0.0909,0.0909,0,0,11,11,1,1,9,9,0,0
"chr15:58597642-58599596","ADAM10","IDEL005371","non.cons","1954",FALSE,NA,"non-fitness",0.2334,0.0909,0.0909,0,0,11,11,1,1,10,10,0,0
"chr1:155051466-155052529","ADAM15","IDEL000742","Cas12a.exonic","1063",FALSE,NA,"non-fitness",-0.384,0,0,0,0,12,12,0,0,10,10,0,0
"chr1:155052778-155053415","ADAM15","IDEL000743","cons.intron","637",FALSE,NA,"non-fitness",-0.384,0,0,0.1,0,10,8,0,0,10,9,1,0
"chr1:155054507-155055788","ADAM15","IDEL005177","non.cons","1281",FALSE,NA,"non-fitness",-0.384,0.1,0.1667,0.25,0,10,6,1,1,8,6,2,0
"chr9:18474296-18504828","ADAMTSL1","IDEL002861","cons.region","30532",FALSE,NA,"non-fitness",-0.6029,0.0833,0.0833,0,0,12,12,1,1,9,9,0,0
"chr9:18707049-18721535","ADAMTSL1","IDEL003160","cons.region","14486",FALSE,NA,"non-fitness",-0.6029,0,0,0,0,10,10,0,0,9,9,0,0
"chr9:18474296-18504828","ADAMTSL1","IDEL003851","cons.region","30532",FALSE,NA,"non-fitness",-0.6029,0,0,0,0,9,9,0,0,10,10,0,0
"chr9:18721666-18723017","ADAMTSL1","IDEL001309","cons.intron","1351",FALSE,NA,"non-fitness",-0.6029,0,0,0.1,0,12,9,0,0,10,9,1,0
"chr9:18636018-18639253","ADAMTSL1","IDEL005020","non.cons","3235",FALSE,NA,"non-fitness",-0.6029,0.1818,0.2,0.3,0,11,5,2,1,10,7,3,0
"chr14:77908379-77914437","ADCK1","IDEL002162","cons.region","6058",FALSE,NA,"",0.4804,0,0,0,0,9,9,0,0,9,9,0,0
"chr14:77924607-77925763","ADCK1","IDEL005361","non.cons","1156",FALSE,NA,"",0.4804,0.0833,0.0833,0,0,12,12,1,1,10,10,0,0
"chr10:110006152-110007963","ADD3","IDEL000792","Cas12a.exonic","1811",FALSE,NA,"fitness",0.9921,0,0,0,0,10,10,0,0,9,9,0,0
"chr10:110117423-110118586","ADD3","IDEL006077","non.cons","1163",FALSE,NA,"fitness",0.9921,0,0,0,0,12,12,0,0,10,10,0,0
"chr1:78891693-78893097","ADGRL4","IDEL000718","cons.region","1404",FALSE,NA,"",0.4052,0,0,0.1,0,12,9,0,0,10,9,1,0
"chr1:78918051-78920182","ADGRL4","IDEL005159","non.cons","2131",FALSE,NA,"",0.4052,0,0,0,0,10,10,0,0,10,10,0,0
"chr4:99079992-99081364","ADH5","IDEL001183","Cas12a.exonic","1372",FALSE,NA,"non-fitness",-1.2518,0,0,0,0,10,10,0,0,10,10,0,0
"chr4:99085217-99088688","ADH5","IDEL004876","non.cons","3471",FALSE,NA,"non-fitness",-1.2518,0.0909,0.0909,0,0,11,11,1,1,10,10,0,0
"chr20:50928826-50930825","ADNP","IDEL001386","Cas12a.exonic","1999",FALSE,NA,"non-fitness",-0.0918,0,0,0,0,12,12,0,0,10,10,0,0
"chr20:50905559-50909499","ADNP","IDEL004812","non.cons","3940",FALSE,NA,"non-fitness",-0.0918,0.0909,0,0.1,0,11,8,1,0,10,9,1,0
"chr12:19440728-19462509","AEBP2","IDEL003365","Cas12a.exonic","21781",FALSE,NA,"non-fitness",-0.8958,0.25,0.25,0,0,12,12,3,3,10,10,0,0
"chr12:19512466-19514670","AEBP2","IDEL006050","non.cons","2204",FALSE,NA,"non-fitness",-0.8958,0,0,0,0,12,12,0,0,10,10,0,0
